motivo_contato;meta_motivo;meta_mes
Agendamento de entrega;0.5282;jan'26
Alteração de dados cadastrais;0.5494;jan'26
Alteração de endereço de entrega;0.5964;jan'26
Atraso na entrega;0.5492;jan'26
Boleto não gerado;0.5412;jan'26
Cancelamento de compra;0.5124;jan'26
Cobrança duplicada no cartão;0.5244;jan'26
Confirmação de pagamento;0.5746;jan'26
Consulta de disponibilidade de estoque;0.5416;jan'26
Cupom de desconto inválido;0.5135;jan'26
Dificuldade de navegação no site;0.5207;jan'26
Dúvida sobre frete;0.5644;jan'26
Dúvida sobre garantia;0.6148;jan'26
Dúvida sobre tamanho/medidas;0.5902;jan'26
Embalagem danificada;0.5354;jan'26
Erro ao finalizar compra;0.6948;jan'26
Esqueci minha senha;0.5532;jan'26
Estorno não realizado;0.6285;jan'26
Nota fiscal não recebida;0.5806;jan'26
Pedido incompleto;0.5593;jan'26
Pix não aprovado;0.613;jan'26
Problema com vale-presente;0.6488;jan'26
Produto entregue com defeito;0.559;jan'26
Produto entregue errado;0.5548;jan'26
Rastreamento não atualiza;0.536;jan'26
Reclamação sobre transportadora;0.5963;jan'26
Solicitação de devolução;0.6559;jan'26
Solicitação de troca;0.5172;jan'26
Status do pedido;0.6883;jan'26
Suspeita de fraude;0.6277;jan'26
