ticket_id;data_contato;id_cliente;matricula_agente;motivo_contato;csat;comentario_csat
770487;2025-12-26 16:25:10;3280069602;93398;Dificuldade de navegação no site;4;O processo foi simples e sem burocracia, me surpreendeu.
216739;2025-12-26 19:11:24;2608345531;31817;Solicitação de devolução;2;Vocês descontaram uma cesta de serviço que eu não contratei.
126225;2025-12-28 06:32:10;3655081209;66659;Boleto não gerado;2;Foi embutido um produto em minha conta sem meu consentimento.
877572;2025-12-20 14:12:23;7913460903;74479;Pix não aprovado;3;Se eu pedir ajuda a uma porta talvez consiga resolver mais rápido.
388389;2025-12-02 06:37:48;4686349814;78265;Cobrança duplicada no cartão;5;Consegui resolver tudo pelo chat sem precisar ligar.
356787;2025-12-09 11:23:00;2195810743;13930;Rastreamento não atualiza;4;O melhor atendimento que já tive em e-commerce.
334053;2025-12-26 20:41:29;9370457946;50776;Erro ao finalizar compra;5;Adorei a nova funcionalidade de pix, muito rápida.
246316;2025-12-19 04:06:46;6568409761;47136;Status do pedido;3;Banco cobra sempre valores de cesta que não contratamos.
872246;2025-12-24 04:27:54;9469713575;90601;Solicitação de troca;2;Grosseria total do atendente ao telefone.
207473;2025-12-14 03:34:34;9133570661;96676;Erro ao finalizar compra;5;Achei o design do app muito limpo e moderno.
809570;2025-12-27 07:12:35;7305029814;83424;Problema com vale-presente;4;Problema resolvido com eficácia. Parabéns à equipe.
876646;2025-12-15 08:25:11;9324262230;77932;Atraso na entrega;5;O melhor atendimento que já tive em e-commerce.
671858;2025-12-04 05:16:07;1001518755;97513;Produto entregue com defeito;2;Processo arcaico, exigem ir na agência para algo digital.
191161;2025-12-25 17:57:22;2338334796;70699;Problema com vale-presente;1;Muito lento o atendimento, a culpa não é da atendente, mas do sistema.
719176;2025-12-04 19:29:25;5120057988;58421;Pix não aprovado;5;O sistema de segurança me passa muita credibilidade.
542417;2025-12-10 02:40:01;2762549480;73010;Solicitação de devolução;5;Atendimento excelente, resolveram meu problema muito rápido.
133326;2025-12-16 20:40:55;5912547369;80487;Problema com vale-presente;2;Não consigo achar a opção de cancelar, escondem de propósito.
131244;2025-12-21 10:48:11;4532358298;68660;Dúvida sobre frete;2;Não dá para ver o que está sendo digitado no chat.
198246;2025-12-04 18:51:09;6336338219;50776;Nota fiscal não recebida;5;A atendente foi muito simpática e prestativa.
329258;2025-12-22 03:06:13;4377187993;62976;Consulta de disponibilidade de estoque;4;Atendimento excelente, resolveram meu problema muito rápido.
343962;2025-12-10 03:55:43;8069879617;25956;Agendamento de entrega;5;Ótima experiência do usuário (UX).
629903;2025-12-02 04:42:35;1830523409;75506;Alteração de endereço de entrega;3;Tudo que tento fazer no App da erro tente mais tarde...
731262;2025-12-15 14:45:52;8878383192;63052;Erro ao finalizar compra;3;Vocês descontaram uma cesta de serviço que eu não contratei.
127824;2025-12-27 09:52:11;1302931075;21575;Dúvida sobre frete;5;O sistema de segurança me passa muita credibilidade.
688508;2025-12-17 03:47:05;2186346730;49426;Cupom de desconto inválido;2;A informação que o chat me passou não é a mesma do extrato.
308496;2025-12-18 00:28:05;9128820465;68955;Cobrança duplicada no cartão;4;O melhor atendimento que já tive em e-commerce.
850800;2025-12-12 10:50:36;1652174484;73697;Dúvida sobre tamanho/medidas;5;Gosto quando a empresa valoriza o tempo do cliente.
781453;2025-12-16 03:09:31;2904308418;98537;Alteração de endereço de entrega;2;A informação que o chat me passou não é a mesma do extrato.
835392;2025-12-30 21:36:24;8182207815;95354;Pix não aprovado;3;Taxa abusiva que apareceu do nada no meu extrato.
671412;2025-12-11 14:44:00;8561653275;73697;Cupom de desconto inválido;4;O sistema de segurança me passa muita credibilidade.
539898;2025-12-18 22:12:42;9636187241;35808;Cancelamento de compra;4;Ótima experiência do usuário (UX).
